Column1,Column2,Column3,Column4
24,25,28,48
43,33,46,30
50,1,0,12
28,33,31,48
48,47,41,1
45,37,17,27
39,34,25,0
24,30,55,23
23,21,43,39
44,1,0,0
62,3,0,0
49,53,16,13
16,29,48,2
37,1,0,0
50,47,2,0
33,45,31,31
18,23,64,48
36,44,49,34
19,59,39,47
21,16,21,26
37,35,46,30
2,0,49,37
12,0,0,0
44,37,46,39
46,23,45,22
44,44,34,39
28,47,50,49
33,31,19,44
24,0,0,0
26,60,43,52
47,6,0,0
35,42,27,42
29,2,0,33
56,33,39,57
65,13,33,43
50,0,0,43
30,34,21,34
27,26,0,0
41,17,52,15
31,33,1,0
32,47,42,48
38,0,0,0
33,39,33,45
42,0,0,0
28,33,20,48
38,39,42,46
41,5,28,34
42,45,20,34
34,57,1,0
72,32,24,33
