Column1,Column2,Column3,Column4
9,5,13,44
9,9,33,35
16,11,36,37
14,12,7,8
15,6,6,10
4,8,10,5
12,14,8,8
9,6,11,6
36,35,36,32
8,9,9,12
34,39,46,35
12,8,7,7
11,10,35,4
9,9,9,24
13,14,3,12
7,14,12,7
11,26,12,37
10,15,11,5
7,12,29,32
12,7,8,7
7,16,7,11
10,12,9,14
12,11,9,11
17,15,4,8
8,10,7,8
10,13,10,3
13,50,33,39
3,41,46,37
11,16,14,11
11,7,8,33
23,36,22,35
5,8,7,9
11,15,13,7
8,14,11,9
12,10,11,11
14,11,24,32
7,13,6,7
12,9,31,49
3,8,7,11
7,9,13,15
7,25,27,33
8,15,7,10
7,14,12,12
12,12,9,10
16,25,32,35
12,11,7,11
8,11,5,14
13,10,9,10
6,28,36,42
6,9,9,15
